dbms,sf,threads,mean_throughput_speedup,mean_efficiency,mean_throughput_qps
mysql,1.0,1,1.0,1.0,2.7969257857699636
mysql,1.0,4,4.086964232917086,1.0217410582292714,3.7628897747306853
mysql,1.0,8,7.727446828884712,0.965930853610589,3.1404265952006174
mysql,1.0,16,12.139620774610336,0.758726298413146,3.390189961969799
oracle,1.0,1,1.0,1.0,1.1039696983128893
oracle,1.0,4,2.1608949205198797,0.5402237301299699,2.8877210349720346
oracle,1.0,8,2.3134813214703027,0.28918516518378784,3.469098591458774
oracle,1.0,16,2.3679455746395797,0.14799659841497373,3.721230191914088
postgres,1.0,1,1.0,1.0,3.7202197531753707
postgres,1.0,4,1.5980759715476192,0.3995189928869048,6.248575500283827
postgres,1.0,8,1.7695015622768546,0.22118769528460683,6.757787173026548
postgres,1.0,16,1.9457320100144797,0.12160825062590498,7.220530471619932
sqlserver,1.0,1,1.0,1.0,0.7882575556008867
sqlserver,1.0,4,2.971865791614682,0.7429664479036705,1.8100128300306508
sqlserver,1.0,8,4.195162054914407,0.5243952568643009,2.2745475381752
sqlserver,1.0,16,5.1562671163837,0.32226669477398123,2.7127920191421353
