dbms,sf,query_id,threads,repetitions,mean_wall_s,median_wall_s,p95_wall_s,p99_wall_s,mean_throughput_qps,median_throughput_qps,total_success,total_errors,cache_before_failures,cache_after_failures,wall_speedup,throughput_speedup,efficiency,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,1.0,1,1,5,19.110878818399943,19.117159391000317,19.168485383999,19.178504094398743,0.0523264998190985,0.0523090266470637,5,0,0,0,1.0,1.0,1.0,5.0,19.098875920799763,19.105334292000407,19.156278821598608,19.166382293118442,0.04953112791027475,19.031265816000086,19.1689081609984,4.0
mysql,1.0,1,4,5,26.6636449231999,26.64855923600044,26.729964754200772,26.743864426041252,0.15001739466174788,0.1501019235064785,20,0,0,0,0.7167391732617796,2.866948777013238,0.7167371942533095,20.0,26.641628829799902,26.625984042500022,26.72586184094962,26.726110831389637,0.04446088626401271,26.605155256000216,26.72617307899964,4.0
mysql,1.0,1,8,5,37.39565116160011,37.412225136000416,37.442950421000205,37.44327094340006,0.2139291709427562,0.2138338463140994,40,0,0,0,0.5110454885733888,4.0883523966316355,0.5110440495789544,40.0,37.353725223924904,37.373032513,37.413212148199634,37.414781865289896,0.06236708891211508,37.21621408399915,37.415676403999896,4.0
mysql,1.0,1,16,5,66.99716316960038,66.90384942799938,67.23676157840127,67.24641961968133,0.23881791079838602,0.2391491690955524,80,0,0,0,0.28524907494995855,4.563995520893231,0.28524972005582694,80.0,66.89161223010008,66.81999257299958,67.17303454294924,67.1938181065897,0.19117525499113636,66.57987517999936,67.21743632499965,4.0
mysql,1.0,2,1,5,0.20577260520039994,0.0960868080001091,0.5357305490000726,0.6234696977998101,8.655728575573741,10.407255905502282,5,0,0,0,1.0,1.0,1.0,5.0,0.19463247499988934,0.0848057169987441,0.5244699522001609,0.612153125640034,0.2456567457099395,0.0836355139999796,0.6340739190000022,446.0
mysql,1.0,2,4,5,0.232553173800261,0.1928208990011626,0.3528237305996299,0.3843927845194412,18.653621792694942,20.744639303729635,20,0,0,0,0.8848410960718052,2.1550608512996834,0.5387652128249208,20.0,0.2108880954499909,0.1720935254988944,0.3713270968014512,0.3742989369612587,0.0819629957499697,0.1668191560002014,0.3750418970012106,446.0
mysql,1.0,2,8,5,0.35464337580015126,0.3551844510002411,0.358248560600623,0.3588053009207942,22.559332095378345,22.52350849670097,40,0,0,0,0.5802240200768813,2.606289222035016,0.325786152754377,40.0,0.264759685349918,0.28281265300029185,0.3105771869009913,0.31211888611935135,0.044125426164690854,0.157342721000532,0.3122530819982785,446.0
mysql,1.0,2,16,5,0.7095331744003488,0.7055404279999493,0.7262687308011664,0.7293728029613703,22.555428998587114,22.67765157746729,80,0,0,0,0.29001125334880296,2.6058382956043693,0.16286489347527308,80.0,0.53634084778746,0.5486254660008854,0.6240857212505944,0.6395461856789916,0.07848452761145538,0.1658575000001292,0.649401520999163,446.0
mysql,1.0,3,1,5,67.52833338079981,67.00438167900029,71.623646912599,72.11573578491901,0.014836568168598518,0.0149243971057105,5,0,0,0,1.0,1.0,1.0,5.0,67.51630940019967,66.99233666299915,71.61189939499927,72.1040446133991,3.301515020113487,63.73500927399982,72.22708091799905,11694.0
mysql,1.0,3,4,5,67.94780726399986,67.30233113299983,69.66928200800066,70.0042673456006,0.058884186174609665,0.0594333053946583,20,0,0,0,0.9938265280354043,3.9688548932250782,0.9922137233062696,20.0,67.92175842224988,67.2801647515007,70.06490897700033,70.06724292179986,1.1423974632343274,67.11497475899887,70.06782640799975,11694.0
mysql,1.0,3,8,5,68.56071422380009,68.77630082500036,68.84029687399997,68.84279219799988,0.11668736210771477,0.1163191376104365,40,0,0,0,0.98494209322805,7.8648485810001985,0.9831060726250248,40.0,68.49642948380001,68.7070389949995,68.80119328894898,68.8042882955891,0.32302978047004505,67.99687094600085,68.80604197699904,11694.0
mysql,1.0,3,16,5,75.98806074539934,75.80157486999997,76.52147097819906,76.5479184604391,0.210565593235344,0.2110774087140019,80,0,0,0,0.8886703084456367,14.192338203992783,0.8870211377495489,80.0,75.84708766928752,75.6756265414997,76.45486025660094,76.47150636151926,0.4228864590614253,75.1571943630006,76.48207277899928,11694.0
mysql,1.0,4,1,5,8.820288501000324,8.774833692999891,8.93623628280111,8.955021032561053,0.1133833506970852,0.1139622738146876,5,0,0,0,1.0,1.0,1.0,5.0,8.80850642339974,8.762898425999083,8.92402461979982,8.942752343959945,0.08478477769386704,8.739535108001292,8.947434274999978,5.0
mysql,1.0,4,4,5,9.949688741600403,9.894229075000112,10.185621326800174,10.230721654160153,0.40212010161765815,0.4042760653386181,20,0,0,0,0.8864888872475004,3.546553344432038,0.8866383361080095,20.0,9.928410226249706,9.872529970499272,10.221917685300015,10.22233292346,0.16021785925399543,9.766434781999124,10.222436732999997,5.0
mysql,1.0,4,8,5,9.970697924200431,9.894501904000208,10.2428835944007,10.31134980688068,0.8026045750085927,0.808529835823844,40,0,0,0,0.8846209731810363,7.078681041565176,0.884835130195647,40.0,9.925780093375034,9.847338111499084,10.29615052419922,10.30279841393003,0.1835956085352005,9.776343311001256,10.30491069799973,5.0
